time_s,event,communication_mode,control_algorithm,count,delay_s,deliver_time_s,hop,link_type,origin_id,packet_size_bytes,protocol,receiver,sender,speed_mps,tx_delay_s,vehicle,vehicle_a,vehicle_b
38.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
38.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
39.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
39.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
39.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
39.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
39.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
39.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
39.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
39.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
39.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
39.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
40.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
40.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
40.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
40.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
40.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
40.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
40.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
40.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
40.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
40.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
41.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
41.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
41.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
41.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
41.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
41.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
41.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
41.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
41.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
41.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
42.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
42.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
42.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
42.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
42.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
42.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
42.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
42.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
42.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
42.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
43.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
43.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
43.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
43.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
43.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
43.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
43.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
43.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
43.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
43.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
44.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
44.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
44.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
44.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
44.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
44.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
44.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
44.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
44.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
44.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
45.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
45.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
45.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
45.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
45.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
45.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
45.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
45.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
45.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
45.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
46.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
46.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
46.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
46.3,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
46.4,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
46.5,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
46.6,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
46.7,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
46.8,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
46.9,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
47.0,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
47.1,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
47.2,incident_waiting_for_vehicle,,,,,,,,,,,,,,,,,
47.3,incident_started,v2v,ttc_adaptive,,,,,,,,,,,10.905002175953198,,29,,
47.3,v2v_packet_sent,,,,,47.3355,1,,29,600,CV2X_PC5,28,29,,0.00048,,,
47.4,warning_received,,,,0.03548,,1,V2V,29,600,CV2X_PC5,28,29,,,,,
47.4,v2v_packet_sent,,,,,47.4855,2,,29,600,CV2X_PC5,14,28,,0.00048,,,
47.4,v2v_packet_sent,,,,,47.4855,2,,29,600,CV2X_PC5,18,28,,0.00048,,,
47.4,v2v_packet_sent,,,,,47.4855,2,,29,600,CV2X_PC5,29,28,,0.00048,,,
47.4,v2v_packet_sent,,,,,47.4855,2,,29,600,CV2X_PC5,33,28,,0.00048,,,
47.4,v2v_packet_sent,,,,,47.4855,2,,29,600,CV2X_PC5,38,28,,0.00048,,,
47.4,v2v_packet_sent,,,,,47.4855,2,,29,600,CV2X_PC5,39,28,,0.00048,,,
47.5,warning_received,,,,0.18548,,2,V2V,29,600,CV2X_PC5,14,28,,,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,29,14,,0.00048,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,33,14,,0.00048,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,38,14,,0.00048,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,39,14,,0.00048,,,
47.5,warning_received,,,,0.18548,,2,V2V,29,600,CV2X_PC5,18,28,,,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,29,18,,0.00048,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,39,18,,0.00048,,,
47.5,warning_received,,,,0.18548,,2,V2V,29,600,CV2X_PC5,29,28,,,,,
47.5,v2v_packet_sent,,,,,47.6355,3,,29,600,CV2X_PC5,33,29,,0.00048,,,
