time_s,vehicle_id,x_m,y_m,speed_mps,lane_id,edge_id,warning_received
4.3,1,635.8025860377638,454.57072157475403,6.6618731163845375,817119562#3_0,817119562#3,False
4.3,2,577.8414242399107,356.3448926239177,4.865147428746885,466112794#6_0,466112794#6,False
4.3,3,591.3217367657676,426.2603750478764,2.809297366377202,:6773282380_0_0,:6773282380_0,False
4.3,4,757.2341871890922,441.9157054046688,0.7452042464941278,1278204168#0_0,1278204168#0,False
4.4,1,635.3539873111268,454.056392736681,6.825533605619145,817119562#3_0,817119562#3,False
4.4,2,578.1679705218671,356.73038056894575,5.052649792215406,466112794#6_0,466112794#6,False
4.4,3,591.1627827913777,426.5139870070154,3.0629895065024058,:6773282380_0_0,:6773282380_0,False
4.4,4,757.1890674387953,442.00320824855714,0.9844947070997093,1278204168#0_0,1278204168#0,False
4.5,1,634.893144683202,453.5280259819824,7.0118274017035,817119562#3_0,817119562#3,False
4.5,2,578.5088111723304,357.13274301858644,5.2738265198530545,466112794#6_0,466112794#6,False
4.5,3,590.9951913033516,426.7813801676863,3.229431482751158,:6773282380_0_0,:6773282380_0,False
4.5,4,757.1332424257168,442.1114723096907,1.218079212272625,1278204168#0_0,1278204168#0,False
4.6,1,634.4216085371606,452.9873988609002,7.174531758477256,817119562#3_0,817119562#3,False
4.6,2,578.8637730760071,357.55177561020474,5.492324634996793,466112794#6_0,466112794#6,False
4.6,3,590.8152089487785,427.0685430255445,3.468199304414217,:6773282380_0_0,:6773282380_0,False
4.6,4,757.0672843994214,442.2393877977006,1.4391774633350098,1278204168#0_0,1278204168#0,False
4.7,1,633.9363869613652,452.4310810773931,7.382758744303879,817119562#3_0,817119562#3,False
4.7,2,579.2352750866994,357.9903338011525,5.748249668885572,466112794#6_0,466112794#6,False
4.7,3,590.624198780233,427.3733008225497,3.680701562422098,:6773282380_0_0,:6773282380_0,False
4.7,4,756.9926997801058,442.384033241381,1.6274062348325145,1278204168#0_0,1278204168#0,False
4.8,1,633.4386090001867,451.8603671070022,7.573807058328107,817119562#3_0,817119562#3,False
4.8,2,579.6230627422856,358.44811719884893,6.0002374110106285,466112794#6_0,466112794#6,False
4.8,3,590.4255103059025,427.71162986301226,3.9256279692261047,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
4.8,4,756.9068419860396,442.5505412805732,1.8733823495318827,1278204168#0_0,1278204168#0,False
4.9,1,632.9269846471482,451.27377792740083,7.784483119908996,817119562#3_0,817119562#3,False
4.9,2,580.0219574410992,358.91901246308805,6.172096662685824,466112794#6_0,466112794#6,False
4.9,3,590.2143260099987,428.0717261624382,4.174741779437525,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
4.9,4,756.8090913664889,442.74011363295233,2.132878992685963,1278204168#0_0,1278204168#0,False
5.0,1,632.4062268827316,450.67671707995305,7.923450091039572,817119562#3_0,817119562#3,False
5.0,2,580.4357551026827,359.40750067757796,6.4026901678150425,466112794#6_0,466112794#6,False
5.0,3,589.9921480439606,428.4505680788878,4.392067285682777,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
5.0,4,756.7002841503403,442.951128560693,2.3741294596642506,1278204168#0_0,1278204168#0,False
5.0,5,509.3,311.18,0.0,-723887918_0,-723887918,False
5.1,1,631.8684713883838,450.060167941152,8.182074491815452,817119562#3_0,817119562#3,False
5.1,2,580.8587653570756,359.9068643595489,6.545236592981117,466112794#6_0,466112794#6,False
5.1,3,589.7567168428944,428.84672561107874,4.608711467818128,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
5.1,4,756.580285342084,443.1838478669069,2.6183254740825173,1278204168#0_0,1278204168#0,False
5.1,5,509.31647656030384,311.15990221765134,0.26,:6789341865_3_0,:6789341865_3,False
5.2,1,631.3150833702982,449.4256957515423,8.419926963917256,817119562#3_0,817119562#3,False
5.2,2,581.2962441561174,360.4233081610997,6.76910834762183,466112794#6_0,466112794#6,False
5.2,3,589.5092007634997,429.2530717245447,4.7581809175128615,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
5.2,4,756.4494816009577,443.43752168523446,2.8540847402853213,1278204168#0_0,1278204168#0,False
5.2,5,509.3480712388171,311.12136365375056,0.49856379377515986,:6789341865_3_0,:6789341865_3,False
5.3,1,630.7522518534081,448.7803963716641,8.563611987119817,817119562#3_0,817119562#3,False
5.3,2,581.7462041402622,360.9544860039267,6.962229693056168,466112794#6_0,466112794#6,False
5.3,3,589.2539711032268,429.67208119151263,4.906464671159399,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
5.3,4,756.3107582529817,443.7065543678566,3.0268873594138093,1278204168#0_0,1278204168#0,False
5.3,5,509.39406957031775,311.06525579884317,0.7258533316189223,:6789341865_3_0,:6789341865_3,False
5.4,1,630.1733864787494,448.1167138022086,8.807570849525087,817119562#3_0,817119562#3,False
5.4,2,582.2111572865734,361.5033632774083,7.194218853217633,466112794#6_0,466112794#6,False
5.4,3,588.9896090242694,430.10608331208135,5.082023771891606,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
5.4,4,756.1613708213076,443.9962684071997,3.2595733536356377,1278204168#0_0,1278204168#0,False
5.4,5,509.45597797187656,310.98974115518354,0.976914119722848,:6789341865_3_0,:6789341865_3,False
5.5,1,629.5848060303208,447.44189267549206,8.955387948773145,817119562#3_0,817119562#3,False
5.5,2,582.688384479253,362.06673006485215,7.384135141534814,466112794#6_0,466112794#6,False
5.5,3,588.7124366955394,430.5611159661828,5.328284484187376,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
5.5,4,756.0049878822771,444.2995491614315,3.412212495486742,1278204168#0_0,1278204168#0,False
5.5,5,509.53409179262013,310.8944594617491,1.232635514864369,:6789341865_3_0,:6789341865_3,False
5.6,1,628.9850533673297,446.75426234582096,9.125375782927307,817119562#3_0,817119562#3,False
5.6,2,583.1747236243665,362.64085351379543,7.5251243584245335,466112794#6_0,466112794#6,False
5.6,3,588.4279340963024,431.02818269475125,5.469199584864315,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
5.6,4,755.8393864491934,444.6207077727151,3.613356308186917,1278204168#0_0,1278204168#0,False
5.6,5,509.62453284000475,310.78414126109317,1.4271590602869337,:6789341865_3_0,:6789341865_3,False
5.7,1,628.3697783208651,446.04883524370706,9.361552445381689,817119562#3_0,817119562#3,False
5.7,2,583.6722847336658,363.2282244934938,7.698761781800155,466112794#6_0,466112794#6,False
5.7,3,588.1335287961299,431.5115066460737,5.65956637936854,722054811#0-AddedOnRampEdge_1,722054811#0-AddedOnRampEdge,False
5.7,4,755.6626836122338,444.96339585621223,3.8555844518561164,1278204168#0_0,1278204168#0,False
5.7,5,509.7285511990379,310.6572617242505,1.6414089379029866,:6789341865_3_0,:6789341865_3,False
5.8,1,627.7448864247111,445.3323822005173,9.507875042474637,817119562#3_0,817119562#3,False
5.8,2,584.1791620262334,363.82659322922876,7.842911061874207,466112794#6_0,466112794#6,False
